Price,Date,Postcode,Year
345000,2016-07-15,SE9 5RN,2016
525000,2016-07-01,SW12 8JR,2016
310000,2016-07-05,KT1 3SE,2016
408000,2016-03-24,SE22 9QD,2016
445000,2016-07-01,SE23 1BQ,2016
537500,2016-06-23,SE4 1US,2016
435000,2016-06-30,SW8 4JH,2016
124250,2016-03-31,SE26 5LN,2016
124250,2016-03-31,SE26 5LN,2016
375000,2016-02-19,SE19 1AT,2016
1200000,2016-06-10,SW9 8RP,2016
755000,2016-06-17,TW12 2FB,2016
405000,2016-05-25,TW10 7UB,2016
792500,2016-06-30,SW17 6AH,2016
420000,2016-06-03,SW17 0LR,2016
185000,2016-06-28,SE13 5SB,2016
660000,2016-06-16,SW16 3NF,2016
232500,2016-06-17,DA7 6RG,2016
267500,2016-07-14,BR1 4BL,2016
195000,2016-06-15,DA8 1DS,2016
510000,2016-06-28,SM1 3PL,2016
449000,2016-07-14,CR2 6HB,2016
325000,2016-06-28,BR4 0NG,2016
200000,2016-06-08,SM3 9JS,2016
550000,2016-07-14,CR2 0QF,2016
445000,2016-07-15,TN16 3TR,2016
335000,2016-06-30,SM5 4LH,2016
305000,2016-06-27,SM2 6NL,2016
340000,2016-07-11,SE20 8AZ,2016
145000,2016-06-28,SM1 4QN,2016
250000,2016-06-17,DA15 8RP,2016
299950,2016-06-03,SE19 3EF,2016
453000,2016-06-30,DA7 6PA,2016
227000,2016-07-08,KT4 8HX,2016
495000,2016-07-15,SE20 7EE,2016
375000,2016-06-24,BR1 4DG,2016
315000,2016-07-28,DA16 3EF,2016
590000,2016-06-29,BR6 9EE,2016
360000,2016-07-15,SM5 1TR,2016
290000,2016-07-08,SM2 5BD,2016
1150000,2016-06-17,SW19 5HU,2016
266000,2016-07-01,CR5 2QL,2016
342000,2016-06-30,DA15 9NJ,2016
655000,2016-04-26,CR8 2JA,2016
278000,2016-06-30,SM2 5HN,2016
335000,2016-07-18,SM5 1JU,2016
2000000,2016-03-18,CR8 3LE,2016
370450,2016-02-09,KT3 3PY,2016
385000,2016-02-12,CR8 3BE,2016
330000,2016-07-19,BR1 3NT,2016
375000,2016-01-29,CR4 2BY,2016
4500000,2016-01-29,SW20 0AF,2016
950000,2016-02-25,KT3 3BP,2016
285000,2016-02-19,KT2 6QR,2016
315000,2016-02-12,DA5 1HN,2016
200000,2016-02-01,BR5 2DD,2016
283000,2016-02-15,CR0 1EY,2016
745000,2016-02-12,BR2 0HN,2016
285000,2016-02-19,CR8 3BE,2016
295000,2016-03-01,CR8 3BE,2016
287995,2016-02-26,DA17 6FJ,2016
195000,2016-02-19,SE25 6HS,2016
292995,2016-02-26,DA17 6FJ,2016
286995,2016-02-26,DA17 6FJ,2016
288995,2016-02-26,DA17 6FJ,2016
380000,2016-02-26,CR8 3BE,2016
218000,2016-03-04,BR1 3TW,2016
331000,2016-01-26,CR4 1NS,2016
280000,2016-07-22,SM2 5JR,2016
400000,2016-02-26,CR8 3BE,2016
276500,2016-03-03,SM2 6AP,2016
278000,2016-02-12,SM1 2LQ,2016
260000,2016-06-03,SM5 2JN,2016
289950,2016-02-12,CR0 2EN,2016
1180000,2016-06-10,BR2 8QU,2016
232000,2016-03-10,DA14 6QQ,2016
405000,2016-03-11,CR8 3BE,2016
425000,2016-07-05,KT4 7LD,2016
247500,2016-07-05,SE25 6UP,2016
368000,2016-02-26,IG2 7ET,2016
1180000,2016-03-30,HA5 3DX,2016
515000,2016-02-18,SM6 9DY,2016
435000,2016-03-18,SW16 4PP,2016
450000,2016-03-24,SW16 4HQ,2016
670000,2016-03-16,CR4 2DN,2016
360000,2016-03-11,CR4 1NP,2016
435000,2016-03-29,SW16 5HA,2016
420000,2016-03-14,SW16 5QE,2016
1100000,2016-03-24,N11 2TR,2016
1445500,2016-03-30,TW10 5DJ,2016
3150000,2016-03-29,SW19 7HS,2016
576000,2016-03-04,SW19 2DT,2016
685000,2016-03-24,HA0 2JH,2016
615000,2016-03-31,SW16 3AJ,2016
775000,2016-03-04,HA3 8EW,2016
550000,2016-06-20,SE9 6RA,2016
595000,2016-07-15,CR8 1AA,2016
1148221,2016-07-15,SW16 6SZ,2016
445000,2016-07-01,BR1 3PB,2016
473000,2016-07-01,DA7 4LF,2016
562000,2016-06-24,BR1 5BU,2016
1223302,2016-07-08,SE15 5AA,2016
770000,2016-07-08,SE15 2BW,2016
550000,2016-07-22,SE9 4DN,2016
370000,2016-07-12,SE9 5EF,2016
640000,2016-07-07,KT3 3DW,2016
440000,2016-06-21,SW16 5UU,2016
365000,2016-06-02,CR0 9LA,2016
1260000,2016-07-01,SE13 5BY,2016
625000,2016-06-17,SE3 8SS,2016
699183,2016-07-22,SW12 9RU,2016
350000,2016-03-31,BR6 0UP,2016
545000,2016-07-25,SE14 6RF,2016
350000,2016-06-10,CR0 4SW,2016
2400000,2016-07-18,SE24 9HE,2016
435000,2016-06-16,SE18 3LG,2016
460000,2016-06-30,DA7 4PX,2016
400000,2016-08-31,CR7 7LT,2016
445000,2016-09-01,SM1 2RS,2016
720000,2016-08-17,SM6 9NQ,2016
380000,2016-04-11,HA8 6ER,2016
700000,2016-03-31,HA9 8EQ,2016
560000,2016-03-31,CR4 3LJ,2016
1435000,2016-04-08,TW11 8AP,2016
650000,2016-04-22,SW17 9JL,2016
555000,2016-03-30,NW9 9JA,2016
650000,2016-03-15,HA2 6EN,2016
640000,2016-02-19,HA0 3RY,2016
510000,2016-03-18,NW9 8AL,2016
740000,2016-02-26,SW20 8ST,2016
485000,2016-03-31,DA16 2EL,2016
480000,2016-03-30,BR3 3HP,2016
560000,2016-03-24,CR4 2EN,2016
715000,2016-03-29,NW10 1AE,2016
630100,2016-03-24,SW20 9HD,2016
387500,2016-03-29,RM11 3RN,2016
650000,2016-03-31,HA8 6DG,2016
505000,2016-03-30,BR3 3QG,2016
423500,2016-01-22,TW3 2PU,2016
460000,2016-04-26,BR4 0ED,2016
865000,2016-03-31,N3 2LE,2016
500000,2016-03-31,UB1 2EU,2016
470000,2016-03-30,HA0 4EU,2016
495000,2016-03-08,E4 6RB,2016
575000,2016-03-24,RM1 4EJ,2016
518000,2016-03-29,HA2 8NN,2016
1200000,2016-03-24,HA9 9LN,2016
745000,2016-03-29,NW4 4JP,2016
520000,2016-04-26,N17 0RT,2016
585000,2016-07-22,SE4 1RF,2016
445000,2016-06-27,SE6 4RW,2016
630000,2016-07-18,SE13 5LY,2016
390000,2016-07-08,SM2 6TD,2016
775000,2016-06-30,BR4 9BS,2016
435000,2016-06-17,BR1 4HZ,2016
255000,2016-04-29,DA16 3DF,2016
272000,2016-05-16,DA6 8AQ,2016
375000,2016-04-22,BR6 0UP,2016
348000,2016-04-29,DA6 8LH,2016
410000,2016-07-05,KT6 6EE,2016
337000,2016-06-13,CR2 8NY,2016
375000,2016-07-15,CR2 8RU,2016
2325000,2016-06-03,SW13 9RZ,2016
600000,2016-07-18,SM1 3QU,2016
372500,2016-07-22,SM1 4AP,2016
530000,2016-06-30,CR0 6XA,2016
930000,2016-07-22,CR8 5LR,2016
375000,2016-06-30,SM5 2EU,2016
475000,2016-06-29,SM6 9QT,2016
440000,2016-07-22,CR0 6EG,2016
950000,2016-07-08,SM1 2DE,2016
217000,2016-05-26,CR0 6LR,2016
1095000,2016-06-29,KT2 5TQ,2016
335000,2016-03-21,CR7 7AX,2016
410000,2016-08-31,CR7 7JY,2016
545000,2016-08-15,SW17 9EF,2016
650000,2016-03-14,TW2 7JG,2016
905000,2016-04-15,KT6 4AF,2016
580000,2016-03-21,SW20 9LZ,2016
480000,2016-03-24,N18 1PR,2016
434000,2016-03-29,BR3 4LB,2016
740000,2016-03-31,BR2 7HR,2016
486000,2016-03-22,E4 8NN,2016
435000,2016-03-30,BR3 3HY,2016
485000,2016-04-22,CR8 4JJ,2016
338000,2016-03-18,DA7 5RL,2016
575000,2016-07-20,SM6 9QT,2016
510000,2016-06-17,CR0 8QQ,2016
435000,2016-06-30,SW16 4UG,2016
425000,2016-07-04,SE25 4NE,2016
410000,2016-07-11,CR7 7QZ,2016
1250000,2016-05-16,CR0 5HQ,2016
485000,2016-06-16,TW1 4EZ,2016
550000,2016-09-01,SW8 2XT,2016
670000,2016-08-04,SW11 3RZ,2016
207500,2016-09-16,SE14 6DF,2016
1140000,2016-08-30,SE1 4QS,2016
308500,2016-08-26,SE6 2RH,2016
385000,2016-08-25,SE23 2AB,2016
460000,2016-08-26,SE5 9RL,2016
820000,2016-09-22,SE1 4NB,2016
240000,2016-09-16,SW18 1PT,2016
411300,2016-08-05,SE6 2DJ,2016
283000,2016-08-26,SE18 2DQ,2016
465000,2016-08-24,SW2 3BU,2016
1125000,2016-08-16,SW13 0HQ,2016
255000,2016-09-01,SW15 6EW,2016
320000,2016-06-30,SE18 6QA,2016
143750,2016-08-16,SW8 3LX,2016
392500,2016-09-09,SW9 9RT,2016
260000,2016-09-02,SE18 6HB,2016
350000,2016-08-08,SW18 1JB,2016
382000,2016-07-05,SW18 4SR,2016
365000,2016-08-26,SE13 6UR,2016
252000,2016-09-09,SE18 4GA,2016
400000,2016-08-30,SW16 1EH,2016
541842,2016-08-19,SW18 3HP,2016
365000,2016-06-29,SW16 1XU,2016
380000,2016-09-02,SE5 8TH,2016
207500,2016-09-09,TW4 5JE,2016
499950,2016-07-21,SW9 7AD,2016
575000,2016-09-02,SE18 6YR,2016
520000,2016-03-16,TW1 1RQ,2016
286500,2016-04-18,SE18 3PZ,2016
627000,2016-03-24,TW11 0HE,2016
