LSOA21CD,Formatted_Ward
E01000224,Barnet - Cricklewood
E01000143,Barnet - Cricklewood
E01000222,Barnet - Cricklewood
E01000221,Barnet - Cricklewood
E01000141,Barnet - Cricklewood
E01000173,Barnet - East Barnet
E01000213,Barnet - Garden Suburb
E01000210,Barnet - Garden Suburb
E01000207,Barnet - Garden Suburb
E01000205,Barnet - Garden Suburb
E01000209,Barnet - Garden Suburb
E01000208,Barnet - Garden Suburb
E01000225,Barnet - Golders Green
E01000219,Barnet - Golders Green
E01000216,Barnet - Golders Green
E01000217,Barnet - Golders Green
E01000218,Barnet - Golders Green
E01000211,Barnet - Golders Green
E01000220,Barnet - Golders Green
E01000215,Barnet - Golders Green
E01000187,Barnet - Edgwarebury
E01000212,Barnet - Golders Green
E01000418,Bexley - Belvedere
E01000228,Barnet - Edgwarebury
E01000244,Barnet - Hendon
E01000337,Bexley - Belvedere
E01000269,Barnet - Barnet Vale
E01000197,Barnet - Finchley Church End
E01000238,Barnet - Hendon
E01000338,Bexley - Belvedere
E01000120,Barnet - Brunswick Park
E01000304,Barnet - Finchley Church End
E01000236,Barnet - Hendon
E01000335,Bexley - Belvedere
E01000123,Barnet - Brunswick Park
E01000198,Barnet - Finchley Church End
E01000240,Barnet - Hendon
E01000408,Bexley - Belvedere
E01000117,Barnet - Brunswick Park
E01000202,Barnet - Finchley Church End
E01000311,Barnet - Hendon
E01000333,Bexley - Belvedere
E01000124,Barnet - Brunswick Park
E01000199,Barnet - Finchley Church End
E01000204,Barnet - Finchley Church End
E01000200,Barnet - Finchley Church End
E01000196,Barnet - Finchley Church End
E01000201,Barnet - Finchley Church End
E01000203,Barnet - Finchley Church End
E01000160,Barnet - Friern Barnet
E01000164,Barnet - Friern Barnet
E01000265,Barnet - Friern Barnet
E01000163,Barnet - Friern Barnet
E01000336,Bexley - Belvedere
E01000118,Barnet - Brunswick Park
E01000334,Bexley - Belvedere
E01000242,Barnet - Hendon
E01000115,Barnet - Brunswick Park
E01000332,Bexley - Belvedere
E01000239,Barnet - Hendon
E01000119,Barnet - Brunswick Park
E01000364,Bexley - Bexleyheath
E01000245,Barnet - Hendon
E01000121,Barnet - Brunswick Park
E01000329,Bexley - Bexleyheath
E01000241,Barnet - Hendon
E01000327,Bexley - Bexleyheath
E01000243,Barnet - Hendon
E01000362,Bexley - Bexleyheath
E01000237,Barnet - Hendon
E01000365,Bexley - Bexleyheath
E01000250,Barnet - High Barnet
E01000355,Bexley - Bexleyheath
E01000249,Barnet - High Barnet
E01000360,Bexley - Bexleyheath
E01000286,Barnet - High Barnet
E01000353,Bexley - Bexleyheath
E01000248,Barnet - High Barnet
E01000330,Bexley - Bexleyheath
E01000253,Barnet - High Barnet
E01000342,Bexley - Blackfen & Lamorbey
E01000290,Barnet - High Barnet
E01000340,Bexley - Blackfen & Lamorbey
E01000254,Barnet - High Barnet
E01000345,Bexley - Blackfen & Lamorbey
E01000255,Barnet - Mill Hill
E01000339,Bexley - Blackfen & Lamorbey
E01000258,Barnet - Mill Hill
E01000343,Bexley - Blackfen & Lamorbey
E01000256,Barnet - Mill Hill
E01000341,Bexley - Blackfen & Lamorbey
E01000260,Barnet - Mill Hill
E01000413,Bexley - Blackfen & Lamorbey
E01000344,Bexley - Blackfen & Lamorbey
E01000463,Bexley - Blackfen & Lamorbey
E01000460,Bexley - Blackfen & Lamorbey
E01000349,Bexley - Blendon & Penhill
E01000446,Bexley - Blendon & Penhill
E01000346,Bexley - Blendon & Penhill
E01000461,Bexley - Blendon & Penhill
E01000443,Bexley - Blendon & Penhill
E01000350,Bexley - Blendon & Penhill
E01000347,Bexley - Blendon & Penhill
E01000352,Bexley - Blendon & Penhill
E01000348,Bexley - Blendon & Penhill
E01000351,Bexley - Blendon & Penhill
E01000331,Bexley - Crayford
E01000379,Bexley - Crayford
E01000377,Bexley - Crayford
E01033792,Bexley - Crayford
E01000261,Barnet - Mill Hill
E01000263,Barnet - Mill Hill
E01033911,Barnet - Mill Hill
E01000259,Barnet - Mill Hill
E01000264,Barnet - Mill Hill
E01000627,Brent - Welsh Harp
E01000525,Brent - Harlesden & Kensal Green
E01000633,Brent - Wembley Central
E01032570,Bromley - Biggin Hill
E01000484,Brent - Kenton
E01000474,Brent - Wembley Central
E01000426,Bexley - Longlands
E01000655,Bromley - Biggin Hill
E01000536,Brent - Kenton
E01000478,Brent - Alperton
E01000634,Brent - Wembley Central
E01000654,Bromley - Biggin Hill
E01000442,Bexley - Northumberland Heath
E01000543,Brent - Kenton
E01000475,Brent - Alperton
E01000632,Brent - Wembley Central
E01000657,Bromley - Biggin Hill
E01000437,Bexley - Northumberland Heath
E01000539,Brent - Kenton
E01000477,Brent - Alperton
E01000630,Brent - Wembley Central
E01000659,Bromley - Biggin Hill
E01000440,Bexley - Northumberland Heath
E01000538,Brent - Kenton
E01000472,Brent - Alperton
E01000612,Brent - Wembley Central
E01000656,Bromley - Biggin Hill
E01000441,Bexley - Northumberland Heath
E01000541,Brent - Kenton
E01000473,Brent - Alperton
