pub_name_ward,longitude,latitude
Royal Standard - Fairfield,-0.1003904482376422,51.36926569485987
Bulls Head - Fairfield,-0.0994048895617261,51.369123794295504
Bishop's Wine Bar - Fairfield,-0.0987365507341911,51.37485098763334
Luna - Fairfield,-0.0989716010727172,51.372993088016834
Dice - Fairfield,-0.0989868184359597,51.37193206756915
Alchemy - Fairfield,-0.0964809495734383,51.37241301279114
Windmill - Fairfield,-0.0917843061094751,51.3809976196436
Two Brewers - Selhurst,-0.0882494351649698,51.387532431581725
Bedford Tavern - Fairfield,-0.092858978264292,51.37969303373672
Olde Clock Tower - Selhurst,-0.0961664086465775,51.38449555020062
Pawson's Arms - Selhurst,-0.0944374235596229,51.392552842308255
Lion Inn - Bensham Manor,-0.09742333023236,51.39127029340524
Phoenix - Fairfield,-0.0999513508070419,51.378135442551645
Old Fox & Hounds - Fairfield,-0.102150189656121,51.37813511210698
Saints & Sinners - West Thornton,-0.1092011881605472,51.38698208177818
Golden Lion - West Thornton,-0.1146676005408619,51.38617979984965
Wandle Arms - Waddon,-0.1067101602092538,51.37350515471911
Waddon - Waddon,-0.1152786009403967,51.3660615785176
Hare & Hounds - Waddon,-0.1155630020309234,51.37173223425914
Plough - Beddington North,-0.1302962692819899,51.36667999766016
Harvest Home - Beddington North,-0.1301283432533373,51.37150696661924
Frankie & Benny's - Broad Green,-0.1217239444170443,51.37673278739149
Beach Road Cafe Bar - Broad Green,-0.1229244685812439,51.37759744398596
Cricketers Inn - Selsdon & Addington Village,-0.0284242165896386,51.35807525164485
Surprise - Shirly South,-0.0518677462925911,51.36722756696832
Coombe Lodge - South Croydon,-0.0699468847131491,51.36200465310751
Orchard - Addiscombe West,-0.0880237830322622,51.37742872221855
Oval Tavern - Addiscombe West,-0.0869248186181149,51.37759065566114
Porter & Sorter - Addiscombe West,-0.0902614296615218,51.37545960729291
Alma Tavern - Addiscombe West,-0.0803536515416403,51.3790480766909
Cricketers - Addiscombe West,-0.0822018517280535,51.37471635388096
Builders Arms - Addiscombe West,-0.085249457055255,51.3788224145571
Claret & Ale - Addiscombe East,-0.0718567544549768,51.37946614279058
Cricketers - Shirley North,-0.0611681226794057,51.38107049801312
Orchard - Shirley North,-0.0385800653738402,51.38565007261516
Crown - Shirley North,-0.0529967409242849,51.37312831597516
Shirley Inn - Shirley North,-0.0489318369643708,51.373762199188405
